"DATE","TIME PERIOD","HICP - Overall index"" (ICP.M.NL.N.000000.4.ANR)"
"2017-08-31","2017Aug","1.5"
"2017-09-30","2017Sep","1.4"
"2017-10-31","2017Oct","1.3"
"2017-11-30","2017Nov","1.5"
"2017-12-31","2017Dec","1.2"
"2018-01-31","2018Jan","1.5"
"2018-02-28","2018Feb","1.3"
"2018-03-31","2018Mar","1.0"
"2018-04-30","2018Apr","1.0"
"2018-05-31","2018May","1.9"
"2018-06-30","2018Jun","1.7"
"2018-07-31","2018Jul","1.9"
"2018-08-31","2018Aug","1.9"
"2018-09-30","2018Sep","1.6"
"2018-10-31","2018Oct","1.9"
"2018-11-30","2018Nov","1.8"
"2018-12-31","2018Dec","1.8"
"2019-01-31","2019Jan","2.0"
"2019-02-28","2019Feb","2.6"
"2019-03-31","2019Mar","2.9"
"2019-04-30","2019Apr","3.0"
"2019-05-31","2019May","2.3"
"2019-06-30","2019Jun","2.7"
"2019-07-31","2019Jul","2.6"
"2019-08-31","2019Aug","3.1"
"2019-09-30","2019Sep","2.7"
"2019-10-31","2019Oct","2.8"
"2019-11-30","2019Nov","2.6"
"2019-12-31","2019Dec","2.8"
"2020-01-31","2020Jan","1.7"
"2020-02-29","2020Feb","1.3"
"2020-03-31","2020Mar","1.1"
"2020-04-30","2020Apr","1.0"
"2020-05-31","2020May","1.1"
"2020-06-30","2020Jun","1.7"
"2020-07-31","2020Jul","1.6"
"2020-08-31","2020Aug","0.3"
"2020-09-30","2020Sep","1.0"
"2020-10-31","2020Oct","1.2"
"2020-11-30","2020Nov","0.7"
"2020-12-31","2020Dec","0.9"
"2021-01-31","2021Jan","1.6"
"2021-02-28","2021Feb","1.9"
"2021-03-31","2021Mar","1.9"
"2021-04-30","2021Apr","1.7"
"2021-05-31","2021May","2.0"
"2021-06-30","2021Jun","1.7"
"2021-07-31","2021Jul","1.4"
"2021-08-31","2021Aug","2.7"
"2021-09-30","2021Sep","3.0"
"2021-10-31","2021Oct","3.7"
"2021-11-30","2021Nov","5.9"
"2021-12-31","2021Dec","6.4"
"2022-01-31","2022Jan","7.6"
"2022-02-28","2022Feb","7.3"
"2022-03-31","2022Mar","11.7"
"2022-04-30","2022Apr","11.2"
"2022-05-31","2022May","10.2"
"2022-06-30","2022Jun","9.9"
"2022-07-31","2022Jul","11.6"
"2022-08-31","2022Aug","13.7"
"2022-09-30","2022Sep","17.1"
"2022-10-31","2022Oct","16.8"
"2022-11-30","2022Nov","11.3"
"2022-12-31","2022Dec","11.0"
"2023-01-31","2023Jan","8.4"
"2023-02-28","2023Feb","8.9"
"2023-03-31","2023Mar","4.5"
"2023-04-30","2023Apr","5.8"
"2023-05-31","2023May","6.8"
"2023-06-30","2023Jun","6.4"
"2023-07-31","2023Jul","5.3"
"2023-08-31","2023Aug","3.4"
"2023-09-30","2023Sep","-0.3"
"2023-10-31","2023Oct","-1.0"
"2023-11-30","2023Nov","1.4"
"2023-12-31","2023Dec","1.0"
"2024-01-31","2024Jan","3.1"
"2024-02-29","2024Feb","2.7"
"2024-03-31","2024Mar","3.1"
"2024-04-30","2024Apr","2.6"
"2024-05-31","2024May","2.7"
"2024-06-30","2024Jun","3.4"
"2024-07-31","2024Jul","3.5"
"2024-08-31","2024Aug","3.3"
"2024-09-30","2024Sep","3.3"
"2024-10-31","2024Oct","3.3"
"2024-11-30","2024Nov","3.8"
"2024-12-31","2024Dec","3.9"
"2025-01-31","2025Jan","3.0"
"2025-02-28","2025Feb","3.5"
"2025-03-31","2025Mar","3.4"
"2025-04-30","2025Apr","4.1"
"2025-05-31","2025May","2.9"
"2025-06-30","2025Jun","2.8"
"2025-07-31","2025Jul","2.5"
"2025-08-31","2025Aug","2.4"
"2025-09-30","2025Sep","3.0"
"2025-10-31","2025Oct","3.0"
"2025-11-30","2025Nov","2.6"
"2025-12-31","2025Dec","2.5"
